语文,理数,英语,理综,物理,化学,生物
116,115.5,137.5,237,92,66,79
107.5,138.5,133.75,224.5,94,66.5,64
112,134,120,232,82,73,77
108.5,114.5,128.75,230.5,98,65.5,67
101.5,112.5,131.88,223.5,76.5,82,65
106.5,127.5,123.13,211,69.5,75.5,66
116.5,114,134.38,198.5,81,51.5,66
112,97,126.88,226.5,79.5,66,81
108,113.5,124.38,211,84,63,64
109.5,126,126.88,191.5,82.5,47,62
104,106.5,120.63,221,91,63,67
109,108.5,131.88,201.5,75,64.5,62
107,108.5,129.38,205.5,76,67.5,62
99.5,112.5,119.38,218.5,90,70.5,58
113,105.5,128.75,202,80,64,58
110,114,119.38,204.5,73,58.5,73
105.5,101,126.25,215,85,66,64
112,109,130.63,195.5,71,54.5,70
107.5,118.5,116.88,200.5,64.5,71,65
106,119.5,123.75,193,86.5,61.5,45
112.5,96,125.63,203.5,66,75.5,62
105,117,128.13,179,64,56,59
108.5,84,129.38,202.5,68,68.5,66
115,96,128.13,183.5,67.5,59,57
95,115,120.63,191,76,52,63
105,101,128.75,181.5,67.5,49,65
109.5,100.5,120.63,185,66,57,62
107,104.5,133.13,165,44,62,59
100.5,108.5,121.25,169.5,51.5,58,60
109.5,89,123.13,175,54,56,65
98.5,110.5,120,162,44,54,64
88.5,88,118.75,185.5,64,59.5,62
102.5,100.5,110.63,166,56.5,48.5,61
103.5,111.5,113.13,148,42,48,58
109.5,85.5,115,164.5,65,46.5,53
105,96.5,112.5,157.5,48,49.5,60
104.5,106.5,117.5,140,48,45,47
103.5,82.5,116.25,162,50.5,42.5,69
105.5,84,110,156,48,53,55
99,92.5,105,155,58,33,64
106.5,81.5,128.13,133.5,37.5,48,48
104.5,101,130.63,100,23.5,28.5,48
106.5,92,106.25,120,38,34,48
105,73,95,135.5,47,28.5,60
